B1,B2,B3,B4,B5,B6,B7,classvalue,sample
0.0688,0.0812,0.1107,0.1337,0.1706,0.2322,0.2436,1,train
0.0625,0.0816,0.1108,0.1242,0.1595,0.2385,0.2496,1,train
0.0625,0.078,0.1085,0.1197,0.1545,0.2354,0.2572,1,train
0.0615,0.0644,0.1068,0.0969,0.1645,0.2645,0.3199,1,train
0.0615,0.0647,0.0984,0.0831,0.1363,0.2623,0.3214,1,train
0.0658,0.075,0.1045,0.1107,0.1499,0.235,0.2703,1,train
0.0658,0.0785,0.1061,0.1237,0.1662,0.2268,0.2446,1,train
0.0722,0.0872,0.124,0.1298,0.1771,0.2322,0.2473,1,train
0.0722,0.0822,0.1119,0.1251,0.1669,0.2299,0.2424,1,train
0.0766,0.0815,0.1111,0.0952,0.1482,0.2052,0.2167,1,train
0.0766,0.0847,0.1132,0.1036,0.1594,0.2076,0.223,1,train
0.0709,0.0612,0.0887,0.0881,0.1432,0.2351,0.2722,1,train
0.0719,0.0891,0.119,0.1231,0.1628,0.2442,0.2788,1,train
0.0719,0.0597,0.0866,0.0845,0.1409,0.2279,0.2717,1,train
0.0647,0.073,0.1077,0.126,0.166,0.2653,0.2994,1,train
0.0647,0.0733,0.1005,0.1329,0.1598,0.2431,0.2834,1,train
0.0632,0.0778,0.1065,0.1353,0.1732,0.2119,0.2394,1,train
0.0632,0.067,0.0995,0.1114,0.1485,0.2177,0.2485,1,train
0.0653,0.0756,0.1069,0.1286,0.1606,0.2151,0.2416,1,train
0.0653,0.086,0.1232,0.1649,0.1864,0.2215,0.236,1,train
0.0698,0.0823,0.1187,0.1606,0.1839,0.2177,0.2366,1,train
0.0698,0.0905,0.1294,0.1783,0.201,0.226,0.2447,1,train
0.0706,0.0895,0.1273,0.1703,0.1981,0.22,0.2292,1,train
0.0718,0.0911,0.1308,0.1755,0.197,0.213,0.2286,1,train
0.0718,0.0845,0.1228,0.1587,0.1796,0.2177,0.2326,1,train
0.0688,0.0868,0.1206,0.1497,0.195,0.2301,0.242,1,train
0.0688,0.0828,0.1114,0.1393,0.175,0.2244,0.2345,1,train
0.0625,0.0758,0.1062,0.1215,0.1595,0.2249,0.2513,1,train
0.0625,0.0702,0.0958,0.1073,0.1406,0.2264,0.2574,1,train
0.0615,0.089,0.1173,0.127,0.1619,0.2348,0.2521,1,train
0.0615,0.0814,0.1078,0.135,0.1427,0.2472,0.2742,1,train
0.0658,0.0704,0.0997,0.1077,0.1481,0.2335,0.2579,1,train
0.0658,0.0795,0.1137,0.1297,0.1674,0.2259,0.2411,1,train
0.0722,0.082,0.1093,0.1024,0.163,0.2258,0.2438,1,train
0.0722,0.09,0.1181,0.1032,0.1601,0.2138,0.2287,1,train
0.0766,0.0929,0.1147,0.1065,0.1666,0.2162,0.2277,1,train
0.0766,0.0925,0.1218,0.1232,0.1672,0.2163,0.2379,1,train
0.0709,0.0697,0.1009,0.1166,0.1538,0.2244,0.2617,1,train
0.0719,0.0969,0.1269,0.1457,0.1808,0.2454,0.2611,1,train
0.0719,0.0863,0.1212,0.1365,0.175,0.223,0.247,1,train
0.0647,0.0486,0.0865,0.067,0.1343,0.251,0.2966,1,train
0.0647,0.0558,0.0909,0.0992,0.1443,0.2384,0.2789,1,train
0.0632,0.0819,0.1162,0.1471,0.1752,0.223,0.2594,1,train
0.0632,0.0786,0.1122,0.1404,0.1618,0.227,0.2397,1,train
0.0653,0.0716,0.1058,0.1275,0.1731,0.2257,0.2493,1,train
0.0653,0.0725,0.1034,0.1249,0.1566,0.2102,0.2393,1,train
0.0698,0.0747,0.1064,0.1297,0.1654,0.2158,0.2388,1,train
0.0698,0.0897,0.1282,0.1648,0.1905,0.217,0.2339,1,train
0.0706,0.0895,0.1281,0.1692,0.1994,0.2196,0.2318,1,train
0.0706,0.0883,0.1283,0.165,0.1998,0.2217,0.2287,1,train
0.0706,0.0909,0.1321,0.1792,0.1991,0.2191,0.2304,1,train
0.0725,0.0887,0.1226,0.1544,0.1763,0.2206,0.2366,1,train
0.0725,0.0819,0.1129,0.1474,0.1802,0.2104,0.2293,1,train
0.0702,0.0845,0.1171,0.1648,0.1929,0.2314,0.2611,1,train
0.0702,0.0876,0.1154,0.1582,0.1928,0.232,0.2568,1,train
0.0656,0.0763,0.1022,0.1251,0.1635,0.2267,0.2499,1,train
0.0656,0.0596,0.0871,0.0844,0.1411,0.2275,0.2639,1,train
0.0707,0.0759,0.0967,0.0832,0.1613,0.2317,0.2532,1,train
0.0707,0.0772,0.1093,0.0893,0.1636,0.2312,0.2484,1,train
0.0695,0.077,0.1079,0.0952,0.1614,0.221,0.244,1,train
0.0695,0.0794,0.1053,0.1037,0.1526,0.2206,0.2386,1,train
0.0729,0.088,0.1142,0.1145,0.1644,0.2215,0.2438,1,train
0.0729,0.0763,0.1071,0.1024,0.1586,0.2312,0.2558,1,train
0.0794,0.0989,0.1265,0.1573,0.1763,0.244,0.2602,1,train
0.0851,0.1123,0.146,0.1815,0.2092,0.2482,0.2595,1,train
0.0851,0.1137,0.1487,0.177,0.2115,0.2399,0.2561,1,train
0.0659,0.0885,0.1194,0.1359,0.1735,0.216,0.2407,1,train
0.0659,0.0794,0.1152,0.1397,0.1515,0.2153,0.2555,1,train
0.0637,0.0745,0.1004,0.1223,0.1459,0.2142,0.2466,1,train
0.0637,0.0776,0.1041,0.124,0.1565,0.2187,0.252,1,train
0.0659,0.0684,0.1032,0.1274,0.1578,0.2181,0.2411,1,train
0.0659,0.0751,0.1113,0.1305,0.165,0.2197,0.2388,1,train
0.0698,0.0695,0.0989,0.119,0.1491,0.2158,0.2434,1,train
0.0698,0.0794,0.1097,0.1324,0.1588,0.2148,0.237,1,train
0.0706,0.0864,0.1233,0.1556,0.1796,0.2224,0.2508,1,train
0.0706,0.0877,0.1249,0.1637,0.183,0.2254,0.2444,1,train
0.0706,0.0877,0.1283,0.1715,0.1937,0.2277,0.24,1,train
0.0725,0.0876,0.1239,0.1771,0.2,0.224,0.2354,1,train
0.0725,0.0898,0.128,0.1703,0.1922,0.2161,0.2304,1,train
0.0702,0.0783,0.1077,0.1324,0.1695,0.2249,0.2647,1,train
0.0702,0.0796,0.1079,0.1362,0.173,0.2258,0.2687,1,train
0.0656,0.082,0.1072,0.1359,0.1717,0.2261,0.267,1,train
0.0656,0.0725,0.096,0.0962,0.1534,0.2313,0.2592,1,train
0.0707,0.0755,0.1061,0.0963,0.1504,0.2266,0.24,1,train
0.0707,0.0767,0.1126,0.0957,0.1539,0.2287,0.2474,1,train
0.0695,0.0775,0.1027,0.1043,0.1566,0.2148,0.2338,1,train
0.0695,0.0721,0.1056,0.0968,0.1613,0.2437,0.277,1,train
0.0729,0.0968,0.1219,0.1333,0.1731,0.2372,0.2641,1,train
0.0729,0.0744,0.1091,0.1174,0.1595,0.2363,0.2588,1,train
0.0794,0.0934,0.1221,0.1471,0.1799,0.251,0.262,1,train
0.0851,0.1108,0.1416,0.1804,0.2097,0.2495,0.2631,1,train
0.0851,0.1205,0.1402,0.1772,0.211,0.2474,0.2597,1,train
0.0659,0.0728,0.0998,0.1059,0.1509,0.2333,0.2767,1,train
0.0659,0.0529,0.08,0.07,0.1137,0.2471,0.3114,1,train
0.0637,0.0853,0.1138,0.1417,0.1687,0.2097,0.2291,1,train
0.0637,0.0891,0.1259,0.1589,0.1807,0.2141,0.2351,1,train
0.0659,0.0797,0.1041,0.1312,0.1675,0.2084,0.2281,1,train
0.0659,0.0779,0.1079,0.1307,0.1693,0.22,0.2396,1,train
0.0662,0.0739,0.1105,0.1272,0.1662,0.2157,0.2459,1,train
0.0662,0.0777,0.1133,0.1335,0.1724,0.2157,0.2419,1,train
0.0662,0.0709,0.1043,0.1228,0.1543,0.2223,0.25,1,train
0.0662,0.083,0.1144,0.1448,0.1739,0.2194,0.2488,1,train
0.0662,0.0779,0.1082,0.1291,0.1635,0.2235,0.2523,1,train
0.0668,0.0877,0.1282,0.1697,0.1952,0.2306,0.2555,1,train
0.0668,0.0892,0.1285,0.1763,0.1916,0.2239,0.2395,1,train
0.0649,0.0644,0.0932,0.1084,0.1459,0.2188,0.2567,1,train
0.0649,0.0795,0.1116,0.1314,0.1666,0.238,0.2607,1,train
0.0691,0.0907,0.1216,0.1391,0.1711,0.2339,0.2475,1,train
0.0691,0.0906,0.1242,0.1544,0.1753,0.2449,0.2548,1,train
0.0681,0.0873,0.1178,0.1385,0.1748,0.2435,0.2483,1,train
0.0681,0.0874,0.1155,0.1161,0.167,0.2345,0.2457,1,train
0.0718,0.0825,0.1115,0.1251,0.1501,0.2118,0.2302,1,train
0.0718,0.0878,0.1163,0.1178,0.1633,0.2146,0.2309,1,train
0.0666,0.0763,0.1103,0.0971,0.1621,0.2434,0.2737,1,train
0.0666,0.0742,0.1068,0.1026,0.1464,0.239,0.2704,1,train
0.0764,0.072,0.0952,0.0974,0.1501,0.2375,0.2828,1,train
0.0716,0.1026,0.132,0.1675,0.2018,0.2357,0.2488,1,train
0.0716,0.0983,0.1262,0.1493,0.1868,0.2376,0.2541,1,train
0.0582,0.0786,0.1106,0.1329,0.1595,0.2186,0.2518,1,train
0.0582,0.0545,0.0801,0.0746,0.1183,0.2373,0.2933,1,train
0.0625,0.0921,0.1291,0.1513,0.1846,0.2104,0.229,1,train
0.0637,0.0944,0.1289,0.1663,0.1921,0.2175,0.2328,1,train
0.0659,0.0682,0.0969,0.1234,0.1431,0.2123,0.2384,1,train
0.0659,0.0769,0.1118,0.1025,0.1531,0.2528,0.2773,1,train
0.0662,0.0808,0.1146,0.1368,0.174,0.2326,0.2594,1,train
0.0662,0.0832,0.1215,0.1463,0.1829,0.2324,0.2565,1,train
0.0662,0.0729,0.1107,0.1329,0.1625,0.228,0.2584,1,train
0.0662,0.0764,0.105,0.1183,0.1612,0.2417,0.2681,1,train
0.0662,0.0762,0.106,0.1414,0.1738,0.2521,0.2645,1,train
0.0668,0.0777,0.1157,0.1506,0.1823,0.2247,0.2488,1,train
0.0668,0.0797,0.1163,0.1561,0.1847,0.2275,0.2418,1,train
0.0649,0.0696,0.098,0.1119,0.1421,0.2231,0.2597,1,train
0.0649,0.0806,0.1087,0.1237,0.1574,0.2394,0.2688,1,train
0.0691,0.0944,0.1213,0.1494,0.1684,0.2357,0.2508,1,train
0.0691,0.0894,0.1257,0.1491,0.1826,0.2452,0.2608,1,train
0.0681,0.0945,0.1254,0.1395,0.1821,0.2391,0.2495,1,train
0.0681,0.097,0.1229,0.1287,0.1736,0.2378,0.2506,1,train
0.0718,0.0789,0.1036,0.102,0.1423,0.228,0.2498,1,train
0.0718,0.093,0.1185,0.1134,0.1694,0.2327,0.2514,1,train
0.0666,0.0738,0.1078,0.0981,0.1644,0.237,0.2595,1,train
0.0666,0.0726,0.1038,0.0942,0.1484,0.2416,0.2741,1,train
0.0764,0.0625,0.0827,0.0824,0.1295,0.2346,0.2912,1,train
0.0716,0.0964,0.1263,0.1437,0.1825,0.2384,0.2511,1,train
0.0716,0.0832,0.112,0.1215,0.1652,0.2398,0.2635,1,train
0.0582,0.0892,0.1159,0.1292,0.1563,0.2238,0.2424,1,train
0.0582,0.0548,0.08,0.0787,0.1261,0.2299,0.281,1,train
0.0625,0.0777,0.1099,0.127,0.155,0.206,0.24,1,train
0.0625,0.0752,0.1057,0.1163,0.16,0.21,0.2366,1,train
0.071,0.0819,0.1153,0.1199,0.1496,0.2285,0.2652,1,train
0.071,0.088,0.1211,0.1331,0.1677,0.2216,0.237,1,train
0.0655,0.0789,0.1212,0.1326,0.1787,0.2439,0.254,1,train
0.0655,0.0641,0.1016,0.1121,0.1532,0.2378,0.2524,1,train
0.0646,0.0704,0.1058,0.1076,0.1581,0.2256,0.2466,1,train
0.0646,0.0689,0.1024,0.1078,0.136,0.2249,0.2584,1,train
0.0635,0.0803,0.1096,0.1145,0.1643,0.2275,0.2452,1,train
0.0635,0.0842,0.1183,0.144,0.1784,0.2175,0.2349,1,train
0.0635,0.0921,0.1215,0.1465,0.165,0.2232,0.2403,1,train
0.0601,0.0623,0.095,0.0938,0.1431,0.2284,0.2582,1,train
0.0601,0.0642,0.0953,0.1068,0.143,0.2208,0.241,1,train
0.0655,0.0742,0.1054,0.1289,0.1553,0.2221,0.2418,1,train
0.0655,0.0941,0.1262,0.1481,0.1797,0.2447,0.2539,1,train
0.0807,0.0927,0.1223,0.1307,0.1742,0.226,0.2369,1,train
0.0807,0.0945,0.1243,0.1308,0.167,0.2416,0.2599,1,train
0.08,0.0918,0.1208,0.1439,0.1741,0.2536,0.2686,1,train
0.08,0.0913,0.1206,0.1417,0.1715,0.2371,0.2508,1,train
0.0807,0.0961,0.1185,0.1303,0.1613,0.2428,0.2587,1,train
0.0807,0.0816,0.1088,0.1098,0.1639,0.2325,0.2523,1,train
0.067,0.0913,0.1172,0.1425,0.1535,0.2194,0.2494,1,train
0.0573,0.0741,0.1049,0.1196,0.153,0.2262,0.2483,1,train
0.0573,0.06,0.0908,0.091,0.1237,0.2338,0.2751,1,train
0.0582,0.0611,0.0833,0.0848,0.1387,0.2385,0.2734,1,train
0.0582,0.0496,0.0838,0.0723,0.1202,0.2396,0.2972,1,train
0.0625,0.0712,0.1028,0.1217,0.1505,0.2088,0.2404,1,train
0.0625,0.0838,0.1173,0.1563,0.1718,0.2021,0.2215,1,train
0.071,0.0735,0.1098,0.1366,0.1638,0.2309,0.2657,1,train
0.071,0.0878,0.1216,0.1528,0.1789,0.2308,0.2465,1,train
0.0655,0.0718,0.1043,0.1058,0.1499,0.2336,0.2483,1,train
0.0655,0.063,0.0983,0.1061,0.1451,0.2342,0.245,1,train
0.0646,0.0625,0.0855,0.0958,0.1287,0.2362,0.2618,1,train
0.0646,0.0635,0.1051,0.0943,0.1553,0.2276,0.2493,1,train
0.0635,0.0682,0.1077,0.1066,0.1638,0.2167,0.2349,1,train
0.0635,0.0747,0.1179,0.1241,0.1755,0.2098,0.2181,1,train
0.0635,0.0875,0.1112,0.13,0.1569,0.2084,0.2227,1,train
0.0601,0.0652,0.0983,0.1069,0.1551,0.225,0.2519,1,train
0.0601,0.0677,0.0983,0.1018,0.1529,0.2218,0.2461,1,train
0.0655,0.0824,0.1069,0.1437,0.1665,0.2354,0.2536,1,train
0.0655,0.0901,0.1175,0.1411,0.1764,0.2428,0.2504,1,train
0.0807,0.0892,0.1225,0.1417,0.1703,0.2333,0.2431,1,train
0.0807,0.0753,0.1131,0.1091,0.164,0.2329,0.2507,1,train
0.08,0.0923,0.1255,0.1522,0.1779,0.2634,0.2746,1,train
0.08,0.1011,0.1402,0.1594,0.1971,0.2657,0.2716,1,train
0.0807,0.0952,0.1196,0.1381,0.1712,0.2448,0.266,1,train
0.0807,0.0878,0.1138,0.1067,0.1757,0.2401,0.2623,1,train
0.05385,0.0652,0.08625,0.0871,0.1188,0.1788,0.21925,1,train
0.05385,0.0591,0.081,0.07605,0.1127,0.1116,0.12005,1,train
0.0661,0.1028,0.13465,0.1852,0.23025,0.25795,0.28695,1,train
0.0661,0.1073,0.1404,0.19755,0.23665,0.25745,0.2911,1,train
0.0675,0.07875,0.1083,0.134,0.17345,0.23095,0.27135,1,train
0.0675,0.0848,0.1169,0.147,0.1894,0.24045,0.2791,1,train
0.0771,0.10555,0.139,0.1779,0.2083,0.25135,0.284,1,train
0.0771,0.10205,0.13215,0.1811,0.2149,0.2469,0.28615,1,train
0.0782,0.09715,0.12835,0.16345,0.1923,0.2508,0.28285,1,train
0.0782,0.09335,0.1253,0.16455,0.1915,0.24805,0.27785,1,train
0.0786,0.0963,0.1278,0.1743,0.1989,0.2526,0.2809,1,train
0.0786,0.0987,0.1312,0.1769,0.2061,0.2536,0.2849,1,train
0.0726,0.1079,0.1419,0.1866,0.2171,0.2656,0.2961,1,train
0.06065,0.06035,0.0773,0.07525,0.10375,0.1229,0.14285,1,train
0.06065,0.07225,0.0974,0.1068,0.1414,0.13565,0.164,1,train
0.07615,0.0927,0.12375,0.16,0.2128,0.25095,0.2798,1,train
0.07615,0.0942,0.1264,0.1647,0.2138,0.25195,0.2846,1,train
0.0771,0.101,0.1335,0.1758,0.2134,0.25505,0.2884,1,train
0.0771,0.09785,0.1293,0.1743,0.21195,0.24835,0.28585,1,train
0.0788,0.1097,0.13945,0.1848,0.2164,0.2574,0.2828,1,train
0.0788,0.1011,0.1304,0.18645,0.21345,0.2472,0.27845,1,train
0.0789,0.09555,0.12915,0.1645,0.19735,0.25,0.28025,1,train
0.0789,0.09415,0.12365,0.15665,0.186,0.2506,0.279,1,train
0.0777,0.0961,0.1282,0.1693,0.1942,0.2493,0.2786,1,train
0.0777,0.097,0.129,0.1758,0.2117,0.2534,0.2821,1,train
0.0736,0.0984,0.1313,0.1756,0.2052,0.2547,0.2898,1,train
0.06065,0.0562,0.07525,0.07405,0.1056,0.0986,0.1132,1,train
0.06065,0.0944,0.1232,0.1556,0.19525,0.22725,0.2559,1,train
0.07615,0.10105,0.1329,0.1782,0.21945,0.2513,0.2823,1,train
0.07615,0.0953,0.12885,0.171,0.21285,0.25115,0.28165,1,train
0.0771,0.09695,0.1316,0.16665,0.2107,0.26495,0.2975,1,train
0.0771,0.0947,0.1275,0.16585,0.20485,0.25195,0.2894,1,train
0.0788,0.1075,0.1387,0.18635,0.2184,0.2532,0.28045,1,train
0.0788,0.1019,0.1328,0.1855,0.2151,0.24625,0.26955,1,train
0.0789,0.09775,0.1272,0.1679,0.20135,0.2476,0.279,1,train
0.0789,0.0937,0.12275,0.16095,0.19085,0.24845,0.2782,1,train
0.0777,0.0966,0.1282,0.1729,0.1969,0.2526,0.2849,1,train
0.0777,0.0939,0.1264,0.1729,0.21,0.2474,0.2807,1,train
0.0736,0.0941,0.126,0.1659,0.1996,0.251,0.2789,1,train
0.06985,0.07555,0.1,0.1104,0.1404,0.15375,0.1757,1,train
0.06985,0.099,0.1343,0.1645,0.20845,0.25415,0.2869,1,train
0.08005,0.10015,0.13795,0.17675,0.219,0.25825,0.2896,1,train
0.08005,0.09695,0.13015,0.16855,0.21435,0.25425,0.28745,1,train
0.07955,0.0944,0.1278,0.16685,0.20855,0.2514,0.2874,1,train
0.07955,0.09965,0.131,0.17715,0.2116,0.25555,0.2882,1,train
0.07735,0.0978,0.12995,0.17885,0.2174,0.25215,0.29045,1,train
0.07735,0.09575,0.12625,0.177,0.2112,0.24495,0.273,1,train
0.0789,0.1022,0.1319,0.1787,0.2075,0.248,0.2926,1,train
0.0789,0.0976,0.1289,0.1745,0.2126,0.2509,0.2854,1,train
0.0761,0.0924,0.123,0.1633,0.1957,0.2487,0.282,1,train
0.0761,0.0927,0.1224,0.1623,0.188,0.2525,0.2821,1,train
0.0737,0.0937,0.1256,0.1715,0.211,0.2453,0.277,1,train
0.06985,0.098,0.1322,0.16115,0.19815,0.2499,0.28975,1,train
0.06985,0.09645,0.1304,0.1623,0.19915,0.2538,0.2876,1,train
0.08005,0.10655,0.1401,0.18055,0.22325,0.2565,0.28715,1,train
0.08005,0.1047,0.13555,0.17995,0.22025,0.25435,0.2842,1,train
0.07955,0.0939,0.1249,0.1638,0.2051,0.24985,0.29135,1,train
0.07955,0.1003,0.1317,0.17965,0.21655,0.2552,0.28755,1,train
0.07735,0.09545,0.12555,0.1739,0.2107,0.247,0.2797,1,train
0.07735,0.09835,0.1292,0.18405,0.21545,0.2457,0.2729,1,train
0.0789,0.0965,0.1248,0.1762,0.207,0.2376,0.2701,1,train
0.0789,0.0969,0.1282,0.1714,0.207,0.2494,0.2787,1,train
0.0761,0.0892,0.1199,0.1609,0.2007,0.2464,0.2789,1,train
0.0761,0.0975,0.1282,0.1697,0.2051,0.2546,0.2848,1,train
0.0737,0.0943,0.1247,0.1717,0.2085,0.2448,0.2739,1,train
0.0717,0.09215,0.1245,0.1595,0.2054,0.26165,0.3017,1,train
0.0717,0.1019,0.13495,0.17745,0.21145,0.2622,0.29715,1,train
0.07685,0.09725,0.1291,0.16885,0.20125,0.25005,0.28025,1,train
0.07685,0.1063,0.13855,0.18755,0.2196,0.24845,0.2682,1,train
0.0783,0.10135,0.13205,0.18085,0.2152,0.25025,0.27575,1,train
0.0783,0.1025,0.13445,0.18835,0.22085,0.24715,0.2695,1,train
0.0792,0.09585,0.12585,0.17915,0.2165,0.2458,0.2667,1,train
0.0792,0.0956,0.12525,0.1807,0.213,0.2342,0.26235,1,train
0.0792,0.0981,0.1287,0.1725,0.2033,0.2424,0.2712,1,train
0.0792,0.0962,0.1266,0.1705,0.2112,0.247,0.2775,1,train
0.0763,0.0987,0.1308,0.1801,0.2072,0.2496,0.281,1,train
0.0763,0.0932,0.1216,0.1694,0.2059,0.2406,0.2754,1,train
0.0786,0.0958,0.1267,0.1832,0.2161,0.2422,0.2721,1,train
0.0717,0.09475,0.1253,0.1646,0.20655,0.26385,0.29535,1,train
0.0717,0.09895,0.13285,0.1746,0.2194,0.26825,0.306,1,train
0.07685,0.0999,0.13495,0.16825,0.2008,0.25705,0.289,1,train
0.07685,0.09635,0.12845,0.1627,0.20285,0.2519,0.2791,1,train
0.0783,0.1031,0.13295,0.1835,0.2197,0.25205,0.27505,1,train
0.0783,0.10485,0.13715,0.192,0.22755,0.2559,0.2815,1,train
0.0792,0.0963,0.12575,0.17335,0.2156,0.25295,0.2819,1,train
0.0792,0.09835,0.12795,0.1822,0.2178,0.2455,0.2749,1,train
0.0792,0.098,0.128,0.1754,0.2088,0.2464,0.2791,1,train
0.0792,0.0968,0.1283,0.1661,0.2072,0.2472,0.2789,1,train
0.0763,0.0993,0.1304,0.1768,0.204,0.251,0.2842,1,train
0.0763,0.0968,0.1273,0.1753,0.203,0.2467,0.2807,1,train
0.0786,0.0991,0.1293,0.177,0.2128,0.2436,0.2743,1,train
0.07235,0.0968,0.13045,0.1714,0.21495,0.27655,0.30785,1,train
0.07235,0.09455,0.1261,0.168,0.21,0.267,0.30275,1,train
0.07575,0.0965,0.12655,0.1687,0.2083,0.24995,0.28355,1,train
0.07575,0.07355,0.1038,0.12595,0.171,0.23275,0.26125,1,train
0.0752,0.0882,0.11795,0.1545,0.19285,0.2492,0.2798,1,train
0.0752,0.0996,0.1322,0.1709,0.20385,0.258,0.2963,1,train
0.0766,0.1067,0.1394,0.1811,0.2165,0.2658,0.2958,1,train
0.0766,0.0994,0.1318,0.1732,0.2132,0.2638,0.2899,1,train
0.0771,0.1,0.131,0.1745,0.2178,0.263,0.2943,1,train
0.0771,0.1026,0.1355,0.175,0.2141,0.262,0.3,1,train
0.0756,0.1017,0.1333,0.1684,0.2146,0.2509,0.2851,1,train
0.0756,0.101,0.1295,0.1591,0.2057,0.2496,0.2805,1,train
0.0785,0.1044,0.1337,0.1748,0.2078,0.2274,0.2476,1,train
0.05075,0.0608,0.088,0.1081,0.15005,0.231,0.2664,1,train
0.0662,0.07135,0.10075,0.11715,0.1565,0.2249,0.2638,1,train
0.0662,0.0629,0.08975,0.08825,0.12145,0.16565,0.1854,1,train
0.0762,0.09235,0.13485,0.1615,0.1993,0.26785,0.2934,1,train
0.0762,0.0804,0.1141,0.14025,0.1824,0.25815,0.2899,1,train
0.0748,0.077,0.10555,0.12695,0.1805,0.24465,0.2776,1,train
0.0748,0.07295,0.10145,0.12945,0.17355,0.2424,0.2675,1,train
0.0761,0.0757,0.1048,0.1363,0.1796,0.2342,0.2684,1,train
0.0761,0.0853,0.1163,0.1529,0.1829,0.2392,0.2743,1,train
0.0761,0.096,0.1269,0.1697,0.1998,0.2425,0.2804,1,train
0.0741,0.0927,0.1238,0.1735,0.2025,0.2322,0.261,1,train
0.0741,0.0726,0.1035,0.1148,0.1635,0.224,0.2549,1,train
0.068,0.0613,0.0842,0.0845,0.1106,0.1353,0.1393,1,train
0.068,0.0646,0.0971,0.0879,0.1412,0.1752,0.2014,1,train
0.0656,0.0806,0.1114,0.0971,0.1489,0.2415,0.2531,1,train
0.05075,0.06535,0.09265,0.1128,0.153,0.23195,0.27125,1,train
0.0662,0.06925,0.099,0.10945,0.14925,0.22275,0.25765,1,train
0.0662,0.0544,0.0821,0.07635,0.11875,0.1378,0.15385,1,train
0.0762,0.10815,0.1414,0.1682,0.2121,0.2828,0.30905,1,train
0.0762,0.09845,0.12825,0.1534,0.1995,0.2722,0.2974,1,train
0.0748,0.099,0.1325,0.16435,0.19575,0.25835,0.28415,1,train
0.0748,0.0988,0.13805,0.17285,0.2041,0.2589,0.28755,1,train
0.0761,0.0845,0.1223,0.1555,0.1927,0.2501,0.2838,1,train
0.0761,0.0767,0.1102,0.1389,0.1864,0.2418,0.2716,1,train
0.0761,0.0678,0.0976,0.1189,0.1698,0.2408,0.2733,1,train
0.0741,0.0898,0.1215,0.164,0.1988,0.2394,0.2722,1,train
0.0741,0.0771,0.1095,0.1372,0.173,0.2395,0.2653,1,train
0.068,0.075,0.1042,0.1021,0.144,0.186,0.2,1,train
0.068,0.0714,0.1,0.0973,0.1472,0.1941,0.213,1,train
0.0656,0.0702,0.1079,0.0903,0.1473,0.2157,0.2466,1,train
0.0575,0.0526,0.07525,0.0821,0.12605,0.2064,0.2459,1,train
0.07895,0.0768,0.1,0.1029,0.13295,0.176,0.19635,1,train
0.07895,0.1009,0.10805,0.10925,0.14225,0.16455,0.1973,1,train
0.08445,0.09915,0.1299,0.1553,0.2011,0.2629,0.29,1,train
0.08445,0.09855,0.12555,0.1462,0.19275,0.25695,0.2808,1,train
0.07675,0.08955,0.1199,0.1413,0.1855,0.25635,0.2843,1,train
0.07675,0.0893,0.1198,0.14305,0.1833,0.252,0.28515,1,train
0.0792,0.0731,0.1103,0.1163,0.1781,0.2512,0.2803,1,train
0.0792,0.0817,0.1105,0.131,0.1849,0.2499,0.2807,1,train
0.0792,0.0974,0.1357,0.1583,0.2132,0.2701,0.296,1,train
0.0795,0.1207,0.1696,0.2127,0.2425,0.2976,0.3178,1,train
0.0795,0.0914,0.1217,0.153,0.2038,0.2485,0.2819,1,train
0.0739,0.0962,0.1255,0.1559,0.1858,0.2319,0.2603,1,train
0.0739,0.0873,0.1157,0.1482,0.1797,0.2226,0.2548,1,train
0.0691,0.0808,0.1081,0.1385,0.1835,0.2276,0.2522,1,train
0.0575,0.07485,0.1091,0.119,0.15185,0.22265,0.2571,1,train
0.07895,0.066,0.08635,0.08485,0.1224,0.1538,0.16875,1,train
0.07895,0.1015,0.1174,0.1231,0.1618,0.2081,0.24815,1,train
0.08445,0.11095,0.14215,0.16645,0.20795,0.2633,0.2921,1,train
0.08445,0.0814,0.113,0.1286,0.179,0.25695,0.2924,1,train
0.07675,0.07925,0.10845,0.1206,0.17045,0.25025,0.28175,1,train
0.07675,0.0872,0.11705,0.1356,0.18955,0.26505,0.2936,1,train
0.0792,0.0858,0.1182,0.1214,0.1779,0.2432,0.2735,1,train
0.0792,0.0839,0.1193,0.1364,0.1884,0.254,0.2814,1,train
0.0792,0.0844,0.1181,0.1345,0.1846,0.2494,0.2738,1,train
0.0795,0.1119,0.1561,0.1898,0.2345,0.291,0.3139,1,train
0.0795,0.0949,0.1292,0.1642,0.2064,0.252,0.2808,1,train
0.0739,0.0909,0.1188,0.1496,0.1862,0.2273,0.2514,1,train
0.0739,0.0898,0.1212,0.1477,0.1833,0.2282,0.2542,1,train
0.0691,0.0852,0.1115,0.1447,0.1796,0.2223,0.2427,1,train
0.0523,0.06245,0.08845,0.08855,0.13505,0.22895,0.27235,1,train
0.06715,0.066,0.0977,0.10425,0.1529,0.22525,0.2617,1,train
0.06715,0.1007,0.13495,0.16125,0.1997,0.2613,0.28845,1,train
0.071,0.0999,0.1278,0.1592,0.2002,0.2479,0.2771,1,train
0.071,0.1296,0.1479,0.1734,0.2064,0.2477,0.279,1,train
0.0691,0.1005,0.1345,0.1564,0.1936,0.2586,0.2877,1,train
