B1,B2,B3,B4,B5,B6,B7,classvalue,sample
0.1226,0.1452,0.1622,0.1412,0.1424,0.1066,0.1062,1,train
0.082,0.0845,0.0943,0.0664,0.0627,0.0425,0.0452,1,train
0.082,0.0826,0.0968,0.0646,0.0602,0.0416,0.0422,1,train
0.0656,0.0745,0.088,0.0562,0.0524,0.0317,0.0302,1,train
0.0656,0.0727,0.0837,0.0511,0.046,0.0298,0.0295,1,train
0.0614,0.0716,0.0792,0.047,0.0417,0.0297,0.0306,1,train
0.0614,0.0701,0.0769,0.0442,0.0417,0.0305,0.0297,1,train
0.0594,0.069,0.0798,0.0431,0.0401,0.0293,0.0299,1,train
0.0594,0.0683,0.0758,0.0432,0.0396,0.0292,0.0314,1,train
0.059,0.0685,0.0765,0.0457,0.0391,0.0287,0.0296,1,train
0.059,0.0684,0.0744,0.0419,0.0429,0.0296,0.0292,1,train
0.059,0.068,0.0774,0.0412,0.04,0.0304,0.0294,1,train
0.059,0.0693,0.0771,0.0411,0.0399,0.0306,0.0303,1,train
0.0585,0.0681,0.0799,0.0397,0.0408,0.0298,0.0306,1,train
0.0585,0.0677,0.0772,0.0402,0.0393,0.0286,0.0295,1,train
0.0572,0.0699,0.0762,0.0416,0.0386,0.0301,0.0302,1,train
0.0572,0.0678,0.0746,0.0406,0.0372,0.0308,0.0312,1,train
0.1294,0.1431,0.1769,0.1998,0.2259,0.2253,0.2354,1,train
0.1294,0.1557,0.1861,0.2061,0.2294,0.2269,0.2283,1,train
0.1294,0.1563,0.1881,0.208,0.2272,0.2183,0.2226,1,train
0.1433,0.1618,0.1902,0.2104,0.2239,0.2207,0.226,1,train
0.1433,0.1556,0.1845,0.2047,0.22,0.2102,0.2161,1,train
0.1394,0.1587,0.1877,0.2085,0.2239,0.2194,0.2216,1,train
0.1394,0.1519,0.177,0.1882,0.2027,0.2008,0.2036,1,train
0.1226,0.1386,0.1543,0.1499,0.1517,0.0997,0.0979,1,train
0.1226,0.1205,0.1413,0.1282,0.1285,0.1018,0.1105,1,train
0.082,0.0818,0.0949,0.0645,0.0598,0.041,0.0407,1,train
0.082,0.08,0.0944,0.0631,0.0578,0.04,0.0396,1,train
0.0656,0.0737,0.0869,0.0547,0.0513,0.0314,0.0302,1,train
0.0656,0.0717,0.0831,0.0488,0.0462,0.0309,0.0307,1,train
0.0614,0.0723,0.0804,0.0477,0.0428,0.032,0.0319,1,train
0.0614,0.0713,0.0798,0.0448,0.0428,0.0311,0.0307,1,train
0.0594,0.0701,0.0783,0.042,0.0421,0.0294,0.03,1,train
0.0594,0.0669,0.076,0.042,0.0396,0.0298,0.0301,1,train
0.059,0.0669,0.0773,0.0398,0.0391,0.0274,0.0284,1,train
0.059,0.0672,0.072,0.0414,0.0387,0.03,0.0294,1,train
0.059,0.0661,0.0749,0.0449,0.041,0.0289,0.0293,1,train
0.059,0.0664,0.0718,0.0414,0.0394,0.029,0.0295,1,train
0.0585,0.0688,0.0763,0.0409,0.0386,0.0288,0.0289,1,train
0.0585,0.0686,0.0773,0.0402,0.0372,0.0282,0.0311,1,train
0.0572,0.0687,0.0748,0.0402,0.0386,0.031,0.0303,1,train
0.0572,0.0673,0.0748,0.041,0.0373,0.0304,0.0304,1,train
0.1332,0.1454,0.1783,0.1995,0.2103,0.2142,0.2157,1,train
0.1332,0.1557,0.183,0.2058,0.2231,0.2237,0.2187,1,train
0.1332,0.1585,0.1856,0.208,0.2204,0.2159,0.2186,1,train
0.1392,0.1538,0.1865,0.2093,0.2252,0.2184,0.2221,1,train
0.1392,0.1597,0.19,0.2102,0.2258,0.2149,0.2195,1,train
0.1361,0.1576,0.1857,0.2012,0.2179,0.2193,0.2145,1,train
0.1361,0.135,0.1668,0.1734,0.1826,0.1724,0.1675,1,train
0.11,0.1378,0.1402,0.1172,0.1217,0.0907,0.0939,1,train
0.11,0.1017,0.1164,0.0885,0.1008,0.071,0.0693,1,train
0.0745,0.0787,0.0943,0.0644,0.0569,0.0394,0.0385,1,train
0.0745,0.0793,0.0932,0.061,0.0564,0.0379,0.0388,1,train
0.0652,0.074,0.0849,0.0536,0.0487,0.0311,0.0313,1,train
0.0652,0.0712,0.0838,0.0498,0.0441,0.0316,0.0312,1,train
0.0631,0.0724,0.0792,0.0452,0.0426,0.0317,0.0318,1,train
0.0631,0.0733,0.078,0.0472,0.0445,0.0307,0.0303,1,train
0.0619,0.0742,0.0797,0.0472,0.043,0.0279,0.0289,1,train
0.0619,0.0698,0.0777,0.046,0.0419,0.0308,0.0307,1,train
0.0594,0.067,0.0756,0.0429,0.0393,0.0299,0.0309,1,train
0.0594,0.0656,0.0747,0.0431,0.0403,0.0286,0.0291,1,train
0.0595,0.0672,0.0734,0.0432,0.0414,0.0307,0.0293,1,train
0.0595,0.0695,0.0761,0.0432,0.0428,0.03,0.0323,1,train
0.0584,0.0684,0.0758,0.0419,0.0422,0.0299,0.0316,1,train
0.0584,0.0685,0.0756,0.04,0.0408,0.0316,0.0301,1,train
0.0585,0.068,0.0751,0.0417,0.0414,0.0298,0.0305,1,train
0.0585,0.0697,0.0776,0.043,0.0356,0.0293,0.0294,1,train
0.1332,0.1369,0.1611,0.1744,0.2046,0.2004,0.2024,1,train
0.1332,0.1536,0.1795,0.2012,0.2184,0.2165,0.2172,1,train
0.1332,0.1558,0.1811,0.2022,0.2194,0.212,0.2175,1,train
0.1392,0.1554,0.1818,0.2015,0.2181,0.2144,0.2162,1,train
0.1392,0.1569,0.1829,0.2049,0.2199,0.2106,0.2158,1,train
0.1361,0.1523,0.1843,0.2059,0.2198,0.2108,0.2168,1,train
0.1361,0.1323,0.1606,0.1613,0.1729,0.1528,0.1511,1,train
0.11,0.1129,0.1311,0.1042,0.1077,0.0696,0.0764,1,train
0.11,0.0878,0.1041,0.075,0.0735,0.0472,0.0519,1,train
0.0745,0.0786,0.0933,0.0656,0.0566,0.0398,0.0407,1,train
0.0745,0.0782,0.0918,0.0624,0.0536,0.0368,0.035,1,train
0.0652,0.0745,0.0839,0.0516,0.048,0.0301,0.0323,1,train
0.0652,0.0709,0.0823,0.0509,0.0454,0.0313,0.03,1,train
0.0631,0.0727,0.08,0.0455,0.0438,0.0308,0.0307,1,train
0.0631,0.0734,0.0792,0.0463,0.0435,0.031,0.0288,1,train
0.0619,0.0749,0.079,0.0464,0.0432,0.0306,0.0322,1,train
0.0619,0.0718,0.0781,0.0436,0.0427,0.031,0.0309,1,train
0.0594,0.0726,0.0771,0.0436,0.0417,0.0287,0.029,1,train
0.0594,0.0682,0.0779,0.0455,0.0407,0.0283,0.0304,1,train
0.0595,0.0681,0.0744,0.0429,0.0402,0.0307,0.0302,1,train
0.0595,0.0709,0.0784,0.0428,0.0424,0.0301,0.0311,1,train
0.0584,0.0685,0.0757,0.0427,0.0408,0.03,0.0314,1,train
0.0584,0.0687,0.0756,0.0419,0.0399,0.0305,0.0301,1,train
0.0585,0.0679,0.0757,0.0426,0.0404,0.029,0.0313,1,train
0.0585,0.0708,0.0775,0.042,0.0366,0.0285,0.0304,1,train
0.1396,0.1533,0.1792,0.2022,0.221,0.2154,0.2201,1,train
0.1396,0.1569,0.1862,0.2076,0.2234,0.2182,0.2242,1,train
0.1396,0.1591,0.1861,0.2024,0.2187,0.2134,0.2198,1,train
0.1455,0.155,0.1803,0.2017,0.2153,0.2056,0.2094,1,train
0.1455,0.1591,0.1844,0.2035,0.2159,0.2154,0.2181,1,train
0.1323,0.1523,0.182,0.2,0.2108,0.1925,0.1958,1,train
0.1323,0.1341,0.151,0.1528,0.1607,0.1215,0.1258,1,train
0.1013,0.0965,0.1169,0.0931,0.0843,0.0534,0.0532,1,train
0.1013,0.0868,0.101,0.0708,0.073,0.0429,0.0472,1,train
0.0712,0.0761,0.0904,0.0599,0.0563,0.0403,0.0417,1,train
0.0712,0.0779,0.0906,0.0587,0.0518,0.0317,0.0344,1,train
0.0622,0.0739,0.0874,0.0501,0.0455,0.0308,0.0319,1,train
0.0622,0.0728,0.084,0.0498,0.0447,0.031,0.0308,1,train
0.0632,0.0728,0.0808,0.0478,0.0431,0.0313,0.0305,1,train
0.0632,0.0727,0.0808,0.0463,0.0444,0.0309,0.03,1,train
0.0637,0.0756,0.08,0.0469,0.0426,0.0309,0.0316,1,train
0.0637,0.0733,0.079,0.0433,0.0415,0.0298,0.0302,1,train
0.0627,0.0729,0.0763,0.0431,0.0432,0.0291,0.0288,1,train
0.0627,0.071,0.0775,0.0439,0.0432,0.0292,0.0308,1,train
0.0616,0.0689,0.0751,0.0407,0.0391,0.0314,0.0305,1,train
0.0616,0.0696,0.0755,0.0404,0.0399,0.0306,0.0301,1,train
0.0602,0.0692,0.0756,0.0425,0.0407,0.0306,0.031,1,train
0.0602,0.0697,0.0765,0.0418,0.0407,0.0297,0.0306,1,train
0.0592,0.0694,0.0743,0.0446,0.0391,0.0306,0.0304,1,train
0.0592,0.0685,0.0755,0.0389,0.0373,0.028,0.0312,1,train
0.0581,0.0695,0.07425,0.0412,0.0382,0.03085,0.03255,1,train
0.0581,0.06835,0.0755,0.04165,0.03935,0.03245,0.03325,1,train
0.05905,0.06735,0.0746,0.0414,0.03885,0.0334,0.03305,1,train
0.05905,0.06985,0.0739,0.03895,0.0389,0.03215,0.0317,1,train
0.0586,0.06785,0.07465,0.0406,0.03845,0.0318,0.03265,1,train
0.0586,0.06695,0.07255,0.0398,0.03755,0.0303,0.03165,1,train
0.0592,0.0666,0.0737,0.0388,0.0393,0.0318,0.0326,1,train
0.0592,0.0656,0.0728,0.0412,0.0384,0.0311,0.0318,1,train
0.0591,0.0679,0.0725,0.0403,0.0405,0.0302,0.0327,1,train
0.0591,0.0674,0.0719,0.0407,0.0405,0.0308,0.0319,1,train
0.0595,0.0656,0.071,0.0393,0.0393,0.0331,0.0311,1,train
0.0595,0.066,0.0717,0.0389,0.04,0.0339,0.0322,1,train
0.0595,0.0675,0.0718,0.0421,0.0398,0.0326,0.034,1,train
0.0606,0.0678,0.0702,0.0404,0.0399,0.0328,0.0319,1,train
0.0606,0.0663,0.0703,0.0401,0.0383,0.0309,0.0327,1,train
0.0596,0.0672,0.0696,0.0413,0.0398,0.0333,0.0319,1,train
0.0596,0.0666,0.0714,0.0388,0.0393,0.0314,0.032,1,train
0.0601,0.0649,0.07,0.0407,0.0412,0.033,0.0331,1,train
0.0601,0.0676,0.0707,0.0401,0.0395,0.0333,0.0336,1,train
0.0599,0.0651,0.0703,0.0401,0.0404,0.034,0.0334,1,train
0.0599,0.0658,0.0707,0.0405,0.0412,0.0337,0.0342,1,train
0.0601,0.0667,0.0706,0.0394,0.0386,0.0343,0.0332,1,train
0.0601,0.0645,0.0687,0.0398,0.0395,0.035,0.0342,1,train
0.0599,0.0667,0.0689,0.04,0.0386,0.033,0.0331,1,train
0.0599,0.0663,0.0677,0.0392,0.0387,0.032,0.033,1,train
0.0597,0.0663,0.068,0.0386,0.0372,0.0329,0.0336,1,train
0.0597,0.068,0.0679,0.0402,0.0381,0.0337,0.0332,1,train
0.06,0.0684,0.0691,0.0414,0.0403,0.0317,0.0329,1,train
0.06,0.0692,0.071,0.0411,0.0398,0.0323,0.0336,1,train
0.0607,0.0696,0.0712,0.0393,0.0391,0.0324,0.0328,1,train
0.0607,0.0677,0.0702,0.04,0.0407,0.0319,0.0342,1,train
0.05985,0.0692,0.0741,0.04355,0.04035,0.033,0.0336,1,train
0.05985,0.0689,0.07505,0.0423,0.0404,0.0337,0.03395,1,train
0.05875,0.0707,0.07515,0.04035,0.03905,0.03315,0.03385,1,train
